Alpha,lr,Proporcion,Media resta
1.0,0.0004,11/15,2.1118090327287447
1.0,0.0006000000000000001,12/15,2.0458123339384664
1.0,0.0008,14/15,2.0710059425452334
1.0,0.001,12/15,1.8331133482954973
1.0,0.0012000000000000001,13/15,1.9650405179680643
1.0,0.0014,11/15,1.5434183417055751
1.0,0.0016,13/15,2.1942462515453682
1.0,0.0018000000000000002,11/15,1.7098722045148464
1.0,0.002,13/15,2.2293269724825735
1.0,0.0022,11/15,1.8166415356418555
1.0,0.0024000000000000002,13/15,2.241142439081157
1.0,0.0026000000000000003,12/15,1.7757502181520837
1.0,0.0028,13/15,2.0339449413232127
1.0,0.003,11/15,1.6110442299329801
1.0,0.0032,12/15,1.8136640162994213
1.0,0.0034000000000000002,11/15,1.7878775223930234
1.0,0.0036000000000000003,12/15,1.7002678681146313
1.0,0.0038,12/15,2.237380006375859
1.0,0.004,12/15,1.565681979845352
1.0,0.004200000000000001,10/15,1.6680656100029807
1.0,0.0044,12/15,1.8606557215396893
1.0,0.0046,13/15,1.464840542521535
1.0,0.0048000000000000004,10/15,1.7379303473291547
1.0,0.005,12/15,1.7478692614643918
1.0,0.005200000000000001,12/15,1.7281253850998195
1.0,0.0054,12/15,1.7281253850998195
1.0,0.0056,12/15,1.7281253850998195
1.0,0.0058000000000000005,13/15,1.867658012707614
1.0,0.006,12/15,1.920556328782619
1.0,0.006200000000000001,12/15,1.2525019595310067
1.0,0.0064,14/15,2.329762681932863
1.0,0.0066,12/15,2.0392385339599226
1.0,0.0068000000000000005,12/15,1.9164763101019753
1.0,0.007,13/15,2.576779955320109
1.0,0.007200000000000001,12/15,1.971911719972948
1.0,0.0074,12/15,2.1672322789000678
1.0,0.0076,12/15,2.151893536523255
1.5,0.0002,13/15,1.8614180163126972
1.5,0.0002,11/15,1.9207842398821535
1.5,0.0004,11/15,1.9207842398821535
1.5,0.0006000000000000001,12/15,2.0287898075202038
1.5,0.0008,12/15,1.6289665081136921
1.5,0.001,12/15,1.8473059931459888
1.5,0.0012000000000000001,12/15,1.8473059931459888
1.5,0.0014,12/15,2.014817830407165
1.5,0.0016,12/15,1.8456390433705632
1.5,0.0018000000000000002,12/15,2.1119849029822073
1.5,0.002,12/15,2.1119849029822073
1.5,0.0022,11/15,2.1510397094787397
1.5,0.0024000000000000002,11/15,2.1510397094787397
1.5,0.0026000000000000003,13/15,2.1761095332475775
1.5,0.0028,12/15,2.1052508232347953
1.5,0.003,13/15,1.5419466926626673
1.5,0.0032,11/15,1.737738109323326
1.5,0.0034000000000000002,14/15,2.360410327457154
1.5,0.0036000000000000003,13/15,2.2662284066249705
1.5,0.0038,13/15,2.4425245233228208
1.5,0.004,13/15,2.594493222546272
1.5,0.004200000000000001,11/15,2.016284389007656
1.5,0.0044,10/15,1.2684309343075142
1.5,0.0046,14/15,2.378294097394708
1.5,0.0048000000000000004,13/15,1.9303124649292196
1.5,0.005,14/15,2.0179531342489385
1.5,0.005200000000000001,12/15,2.084225832539594
1.5,0.0054,11/15,2.205546755736417
1.5,0.0056,12/15,1.9620838038389252
1.5,0.0058000000000000005,12/15,1.8636804706848764
1.5,0.006,13/15,2.416992436381716
1.5,0.006200000000000001,14/15,2.032716875592807
1.5,0.0064,13/15,1.8990910775208043
1.5,0.0066,14/15,2.4536678772377494
1.5,0.0068000000000000005,12/15,2.422323014220142
1.5,0.007,12/15,1.9599867711414232
1.5,0.007200000000000001,12/15,2.1071207797006934
1.5,0.0074,11/15,1.76293171120424
1.5,0.0076,13/15,1.722677435388877
1.5,0.0078000000000000005,12/15,2.2423412149045605
1.5,0.008,13/15,2.450936411951593
1.5,0.0082,13/15,2.0610603130158256
1.5,0.008400000000000001,10/15,1.3497705499899046
1.5,0.0086,11/15,2.0820169113177394
1.5,0.0088,10/15,1.7924539076870891
1.5,0.009000000000000001,10/15,2.156308806060158
1.5,0.0092,14/15,1.537247895401324
1.5,0.0094,12/15,1.6935068220150022
1.5,0.009600000000000001,13/15,2.062289965134871
1.5,0.0098,12/15,2.418601703564472
2.0,0.0002,13/15,2.203548900509014
2.0,0.0004,11/15,1.8557313595706555
2.0,0.0006000000000000001,13/15,2.3726775343185884
2.0,0.0008,13/15,2.1406212966104117
2.0,0.001,13/15,2.3944600237281843
2.0,0.0012000000000000001,13/15,1.9149758404972856
2.0,0.0014,13/15,1.9335061094346482
2.0,0.0016,11/15,1.8485979178293523
2.0,0.0018000000000000002,11/15,1.9162547299146506
2.0,0.002,13/15,2.580414312940088
2.0,0.0022,11/15,2.1029035922909176
2.0,0.0024000000000000002,12/15,2.1633685368709945
2.0,0.0026000000000000003,12/15,2.058001763397489
2.0,0.0028,13/15,1.632120528058048
2.0,0.003,11/15,2.23969029537406
2.0,0.0032,12/15,1.7568742686601106
2.0,0.0034000000000000002,11/15,1.660046874701361
2.0,0.0036000000000000003,12/15,2.0827051195116777
2.0,0.0038,13/15,1.9821211348339638
2.0,0.004,12/15,1.8696619114213946
2.0,0.004200000000000001,10/15,1.733489005195229
2.0,0.0044,10/15,1.733489005195229
